# Command: 
# structures were superimposed onto reference structure
# lag time set to 1 frames
# output dimension for PCA set to 2
# output dimension for TICA set to 2
# number of top principle components passed to time-lagged t-SNE set to 50
# output dimension for t-SNE and time-lagged t-SNE set to 2
# perplexity of t-SNE set to 10.000000
# perplexity of time-lagged t-SNE set to 10.000000
# early_exaggeration set to 12.000000
# structure_ID PCA1 PCA2 TICA1 TICA2 tSNE1 tSNE2 tltSNE1 tltSNE2
 62 -9.391655 -0.366170 0.642744 -0.347510 -52.315807 -44.434509 -80.877571 21.368422
 63 -11.840169 -4.899769 0.410127 0.017430 -51.410938 -42.518337 -82.257660 22.382385
 64 -10.930169 -2.586281 0.487112 0.060471 -51.197720 -42.608555 -82.672165 22.350952
 65 -9.778509 -3.746259 0.488210 0.112115 -51.255363 -42.662479 -82.762314 22.353783
 66 -7.802167 -4.436144 0.736870 0.294646 -51.613037 -42.616375 -83.090614 22.468100
 67 -10.747906 -2.386490 0.564609 -0.001119 -51.149410 -42.648018 -83.197876 22.474735
 68 -9.752632 -3.417535 0.477254 0.010394 -50.942783 -42.622723 -84.280022 22.685816
 69 -8.704021 -7.083254 0.447244 0.055217 -55.593555 -44.384666 -80.388733 26.219025
 70 -9.722795 -5.508349 0.465715 -0.329165 -55.488186 -44.331596 -80.474365 26.268978
 71 -9.364099 -5.935681 0.473573 -0.392161 -55.432259 -44.171814 -80.607849 26.155190
 72 -7.885564 -1.744779 0.320748 -0.634708 -53.813347 -44.084404 -80.645187 26.143293
 73 -16.611019 -4.212285 0.454659 -0.535207 -51.251339 -50.196915 -80.651566 27.468660
 74 -12.669484 -7.204479 0.515506 -0.134285 -55.778522 -42.721184 -80.764496 27.379482
 75 -12.032933 -8.598330 0.512969 0.064044 -77.439003 -39.161037 -93.049316 10.635165
 76 -8.355143 -10.997425 0.449853 0.102398 -78.671829 -39.447388 -93.502274 10.313789
 77 -7.738251 -7.376040 0.477386 -0.325274 -78.912140 -39.867435 -93.881279 10.234525
 78 -9.562846 -8.135837 0.426104 -0.191832 -78.808060 -39.952599 -93.844917 10.159448
 79 -7.238761 -8.652510 0.566450 -0.327403 -78.344543 -40.141270 -93.592613 10.181081
 80 -7.555156 -9.803406 0.641354 -0.211214 -78.793648 -39.805576 -93.665070 10.175002
 81 -8.800159 -10.995236 0.566641 -0.153287 -78.248123 -39.598656 -93.411720 10.151842
 82 -9.025266 -9.840764 0.542924 0.040920 -78.852226 -39.440430 -93.399170 10.125771
 83 -7.459763 -8.449320 0.445240 -0.005855 -78.358253 -40.424671 -93.283646 9.969282
 84 -7.171299 -6.341908 0.738324 0.111537 -78.204704 -41.055290 -92.924927 9.432281
 85 -10.094585 -7.421753 0.713906 0.327628 -77.930870 -41.565231 -92.809814 9.266264
 86 -10.350110 -7.286274 0.963598 0.246318 -77.737663 -41.907570 -92.759201 9.216064
 87 -9.930127 -8.342113 0.957321 -0.114654 -77.779297 -41.819897 -92.746338 9.188293
 88 -10.114864 -6.220016 0.364179 -0.119292 -56.521667 -42.206409 -51.215778 -77.117012
 89 -5.770733 -5.540465 0.232117 -0.222071 -48.213459 60.141750 -50.951515 -77.475670
 90 -2.627394 -7.707406 0.364779 -0.242994 -48.632717 61.242863 -50.695660 -77.846664
 91 -3.338990 -7.861725 0.168356 -0.289390 -48.681274 61.212196 -50.560303 -78.045258
 92 -5.162332 -6.162251 0.564127 -0.179709 -50.536942 62.412560 -50.114059 -78.825211
 93 -3.868929 -7.094649 0.706182 -0.462071 -50.104435 62.433498 -50.198013 -78.781273
 94 -5.867471 -7.356720 0.569614 -0.364475 -50.451748 62.356087 -50.149323 -79.031456
 95 -5.764119 -9.400558 0.742459 -0.395213 -50.655602 62.439678 -50.232922 -79.710823
 96 -4.607624 -8.678650 0.356517 -0.594403 -50.989311 62.771072 -50.258892 -79.886841
 97 -3.787353 -7.654180 0.521009 -0.552687 -50.590591 62.601498 -49.772396 -79.768433
 98 -4.709935 -7.941799 0.726035 -0.561858 -50.568863 62.478481 -49.565639 -79.682640
 99 -3.209946 -3.845603 0.763281 -0.404333 -49.493267 64.261375 -49.035305 -79.739601
 100 -3.333975 -4.029610 0.639066 -0.727176 -49.584599 64.410934 -48.546062 -79.871758
 101 -1.350337 -5.375597 0.535357 -0.370493 -48.901855 63.998756 -48.332973 -79.441246
 102 -0.233662 -5.284633 0.467378 -0.600241 -47.826180 64.339485 -48.360016 -79.135086
 103 -1.999193 -5.866933 0.561254 -0.317158 -48.265247 63.684258 -48.453163 -78.890320
 104 -1.141081 -7.223345 0.492516 -0.177400 -48.324444 63.569695 -48.491318 -78.974754
 105 -1.489672 -2.632505 0.700439 -0.224796 -48.405003 63.964146 -47.436626 -80.435989
 106 -1.915478 -3.992216 0.383322 -0.740548 -48.925831 64.264481 -47.683460 -80.305794
 107 -1.847968 -5.091417 0.207681 -0.410289 -48.766426 64.042114 -47.681763 -80.315552
 108 -3.115004 -6.589503 0.290727 -0.594493 -48.362793 62.134659 -46.523476 -80.198799
 109 -2.875619 -6.173274 0.093154 -0.694462 -48.401299 62.050529 -46.574852 -80.192352
 110 -2.237475 -5.675792 0.201505 0.062422 -48.543415 63.082821 -46.537567 -80.207268
 111 -0.487287 -5.739360 0.254275 -0.191672 -48.439018 63.178062 -46.492081 -80.203819
 112 -5.338652 -5.586206 0.095623 -0.715393 -48.055504 59.636402 -45.974590 -80.092361
 113 -1.135677 -3.012972 0.161033 0.317255 -35.334003 62.372337 -23.442738 -60.279583
 114 -3.602170 -6.547592 0.076449 0.429089 -35.084068 62.748341 -23.350735 -60.180958
 115 1.030843 -5.328204 0.062707 0.495894 -34.522690 63.528534 -23.236240 -60.077583
 116 4.235357 -3.227316 0.233230 0.509048 -34.406475 63.618050 -23.199932 -60.054653
 117 0.582036 -1.200223 0.243428 0.143639 -34.279533 63.777264 -21.285404 -58.859715
 118 -1.122542 -3.435817 0.171202 -0.096488 -34.239304 63.925365 -21.183977 -58.774380
 119 1.684178 -2.579042 0.224388 -0.032374 -32.708363 66.457253 -20.974070 -58.480816
 120 -1.142039 -3.931321 0.058809 0.204091 -32.647243 66.484512 -20.847456 -58.261292
 121 -0.166188 -5.546700 0.068446 0.372247 -32.697186 66.494484 -20.616495 -57.992096
 122 0.730782 -8.575348 0.175918 0.323461 -35.650707 66.330521 -20.234238 -57.493977
 123 -0.521378 -6.688066 -0.032839 0.384098 -35.706203 66.397835 -20.070147 -57.401684
 124 0.000428 -8.264994 -0.008143 0.541633 -35.789051 66.549004 -20.129240 -57.295551
 125 -0.875570 -8.016793 -0.258448 0.457691 -35.854137 66.906937 -20.412828 -57.244572
 126 -1.015846 -7.620557 0.079574 0.284766 -35.947407 67.232155 -20.921604 -56.569653
 127 0.211686 -9.494987 0.074763 0.393537 -36.414452 67.610306 -21.282537 -56.063541
 128 0.859035 -8.388600 -0.043735 0.262658 -36.393078 67.514084 -21.304989 -56.038513
 129 0.260990 -8.193350 -0.062717 0.366426 -36.313686 67.081406 -21.288502 -56.132404
 130 -2.907626 -9.238427 -0.209926 0.549814 -36.726715 68.131279 -21.456602 -55.765255
 131 -0.589669 -8.329859 -0.192059 0.421779 -37.104454 68.639015 -21.705669 -55.282887
